name,status,family1,family2,family3
Ghotuo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Alumu-Tesu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ari,severely endangered,Suki-Gogodala,Gogodalic,Ari-Waruna
Amal,definitely endangered,Sepik,-,-
Arbëreshë Albanian,vulnerable,Indo-European,Albanian,Albanian-Tosk
Aranadan,definitely endangered,Dravidian,South Dravidian,South Dravidian I
Ambrak,safe,Nuclear Torricelli,Nuclear Palai,Yangum-Ambrak
Abu' Arapesh,definitely endangered,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
Arifama-Miniafia,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ankave,safe,Angan,Nuclear Angan,Ankave-Tainae-Akoye
Afade,vulnerable,Afro-Asiatic,Chadic,Biu-Mandara
Anambé,extinct,Tupian,Maweti-Guarani,Aweti-Guarani
Algerian Saharan Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Pará Arára,vulnerable,Cariban,Pekodian,Xinguan
Eastern Abenaki,extinct,Algic,Algonquian,Eastern Algonquian
Afar,safe,Afro-Asiatic,Cushitic,East Cushitic
Aasax,extinct,Afro-Asiatic,Cushitic,South Cushitic
Arvanitika Albanian,vulnerable,Indo-European,Albanian,Albanian-Tosk
Abau,definitely endangered,Sepik,-,-
Solong,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Mandobo Atas,safe,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Awyu-Ok
Amarasi,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Abé,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Bankon,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Ambala Ayta,safe,Austronesian,Malayo-Polynesian,Central Luzon
Camarines Norte Agta,vulnerable,Austronesian,Malayo-Polynesian,Greater Central Philippine
Western Abenaki,critically endangered,Algic,Algonquian,Eastern Algonquian
Abai Sungai,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Abaga,critically endangered,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka
Tajiki Arabic,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Abidji,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Aka-Bea,extinct,Great Andamanese,Middle-South Andamanese,South Great Andamanese
Abkhazian,vulnerable,Abkhaz-Adyge,Abkhaz-Abaza,-
Lampung Nyo,safe,Austronesian,Malayo-Polynesian,Lampungic
Abanyom,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Abua,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
